status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,class
A13,24.0,A34,A43,1347.0,A62,A75,4.0,A93,A101,2.0,A122,47.0,A143,A152,2.0,A173,1.0,A192,1.0
A14,15.0,A34,A42,2788.0,A61,A74,3.0,A92,A101,2.0,A123,26.0,A141,A152,2.0,A173,1.0,A191,1.0
A11,21.0,A31,A40,1647.0,A65,A73,4.0,A94,A101,2.0,A122,40.0,A143,A151,2.0,A172,1.0,A192,2.0
A14,24.0,A34,A40,617.0,A61,A75,4.0,A93,A101,4.0,A123,54.0,A143,A152,2.0,A174,1.0,A192,1.0
A14,24.0,A32,A40,2613.0,A62,A73,4.0,A93,A101,2.0,A123,27.0,A143,A152,1.0,A173,1.0,A191,1.0
A14,12.0,A34,A44,1224.0,A61,A73,4.0,A92,A101,4.0,A122,37.0,A143,A152,2.0,A173,1.0,A192,1.0
A14,6.0,A32,A43,2108.0,A61,A74,2.0,A94,A101,2.0,A121,29.0,A143,A151,1.0,A173,1.0,A191,2.0
A12,48.0,A31,A40,12169.0,A65,A73,4.0,A93,A101,4.0,A124,38.0,A143,A153,1.0,A173,1.0,A192,1.0
A11,65.0,A32,A40,6836.0,A61,A73,2.0,A93,A101,4.0,A124,63.0,A143,A152,1.0,A173,2.0,A192,2.0
A14,12.0,A34,A43,797.0,A65,A75,4.0,A92,A101,4.0,A122,33.0,A141,A152,1.0,A172,2.0,A191,2.0
A14,12.0,A32,A43,2073.0,A62,A73,4.0,A92,A101,2.0,A121,28.0,A143,A152,1.0,A173,1.0,A191,1.0
A12,45.0,A34,A43,4746.0,A61,A72,4.0,A93,A101,2.0,A122,25.0,A143,A152,2.0,A172,1.0,A191,2.0
A14,36.0,A30,A45,2613.0,A61,A73,4.0,A93,A101,2.0,A123,27.0,A143,A152,2.0,A173,1.0,A192,1.0
A12,36.0,A33,A40,7432.0,A61,A73,1.0,A92,A101,2.0,A121,54.0,A143,A152,1.0,A172,1.0,A191,1.0
A12,18.0,A32,A43,1531.0,A61,A72,4.0,A94,A103,3.0,A121,33.0,A143,A151,1.0,A173,1.0,A191,2.0
A12,30.0,A34,A43,2404.0,A61,A73,2.0,A94,A101,2.0,A121,26.0,A143,A152,1.0,A173,1.0,A191,1.0
A14,21.0,A30,A40,5003.0,A65,A73,1.0,A93,A101,4.0,A122,29.0,A151,A152,2.0,A172,1.0,A191,2.0
A14,10.0,A34,A42,2828.0,A61,A72,4.0,A93,A102,3.0,A121,22.0,A143,A152,2.0,A173,1.0,A192,1.0
A12,48.0,A34,A41,6758.0,A61,A75,3.0,A92,A101,2.0,A123,29.0,A143,A152,1.0,A173,1.0,A192,2.0
A14,24.0,A32,A41,7814.0,A65,A72,4.0,A92,A101,4.0,A123,38.0,A143,A152,1.0,A174,1.0,A192,1.0
A11,9.0,A32,A43,1288.0,A61,A75,3.0,A92,A101,4.0,A121,48.0,A143,A152,1.0,A173,2.0,A191,1.0
A14,6.0,A31,A43,3568.0,A61,A75,4.0,A92,A101,2.0,A123,54.0,A143,A151,1.0,A174,1.0,A192,1.0
A11,12.0,A32,A42,1289.0,A61,A73,4.0,A93,A103,1.0,A122,21.0,A143,A152,1.0,A172,1.0,A191,1.0
A12,36.0,A31,A44,3990.0,A65,A72,3.0,A92,A101,1.0,A124,29.0,A141,A152,1.0,A171,1.0,A191,1.0
A14,42.0,A32,A43,7166.0,A65,A74,2.0,A94,A101,4.0,A122,31.0,A143,A151,1.0,A173,1.0,A192,1.0
A14,36.0,A33,A43,4454.0,A61,A73,4.0,A93,A101,4.0,A121,34.0,A143,A152,2.0,A173,1.0,A191,1.0
A14,21.0,A32,A43,3160.0,A65,A75,3.0,A93,A101,3.0,A122,41.0,A143,A152,1.0,A173,1.0,A192,1.0
A14,24.0,A32,A43,1469.0,A62,A75,4.0,A94,A101,4.0,A123,41.0,A143,A152,1.0,A172,1.0,A191,1.0
A11,6.0,A34,A40,362.0,A61,A75,4.0,A93,A101,4.0,A123,52.0,A143,A152,2.0,A173,1.0,A192,1.0
A14,6.0,A32,A48,1238.0,A61,A71,1.0,A92,A101,4.0,A122,36.0,A143,A151,2.0,A171,1.0,A191,1.0
A14,5.0,A32,A49,3448.0,A61,A74,1.0,A92,A101,4.0,A121,74.0,A143,A152,1.0,A172,1.0,A191,1.0
A11,36.0,A32,A40,1842.0,A61,A72,4.0,A92,A101,4.0,A123,34.0,A143,A152,1.0,A173,1.0,A192,2.0
A12,9.0,A32,A40,3195.0,A65,A73,1.0,A92,A101,2.0,A121,33.0,A143,A152,1.0,A172,1.0,A191,1.0
A11,24.0,A32,A41,2924.0,A61,A73,3.0,A93,A103,4.0,A124,63.0,A141,A153,1.0,A173,2.0,A192,1.0
A11,12.0,A34,A A43,1169.0,A65,A75,4.0,A93,A101,4.0,A121,67.0,A143,A152,2.0,A173,1.0,A192,1.0
A12,24.0,A32,A40,1355.0,A61,A73,4.0,A92,A101,3.0,A123,25.0,A143,A152,1.0,A172,1.0,A192,2.0
A14,6.0,A32,A43,1346.0,A62,A75,2.0,A93,A101,4.0,A124,42.0,A141,A153,1.0,A172,2.0,A191,1.0
A13,10.0,A34,A40,2247.0,A65,A73,2.0,A92,A101,2.0,A123,36.0,A142,A152,2.0,A173,1.0,A192,1.0
A14,36.0,A33,A43,4463.0,A61,A73,4.0,A93,A101,2.0,A123,26.0,A143,A152,2.0,A174,1.0,A192,2.0
A12,12.0,A32,A43,804.0,A61,A75,4.0,A92,A101,4.0,A121,38.0,A143,A152,1.0,A173,1.0,A191,1.0
A12,18.0,A34,A40,2181.0,A65,A75,4.0,A93,A101,4.0,A123,36.0,A143,A152,2.0,A174,1.0,A192,1.0
A14,15.0,A33,A43,1478.0,A61,A73,4.0,A94,A101,2.0,A123,26.0,A141,A152,2.0,A173,1.0,A191,1.0
A12,12.0,A32,A40,836.0,A62,A72,2.0,A94,A101,2.0,A122,23.0,A143,A152,1.0,A172,1.0,A191,2.0
A11,24.0,A32,A40,1358.0,A65,A71,2.0,A92,A101,4.0,A121,40.0,A143,A152,1.0,A174,1.0,A192,2.0
A12,9.0,A32,A40,1549.0,A65,A72,1.0,A91,A101,4.0,A121,37.0,A143,A151,1.0,A173,1.0,A191,1.0
A12,36.0,A31,A44,3990.0,A65,A75,4.0,A92,A101,2.0,A124,29.0,A141,A152,1.0,A171,1.0,A192,1.0
A12,18.0,A34,A43,1795.0,A61,A75,3.0,A92,A103,4.0,A121,48.0,A141,A151,2.0,A172,1.0,A192,1.0
A12,18.0,A34,A42,6361.0,A61,A75,2.0,A93,A101,1.0,A124,41.0,A143,A152,1.0,A174,1.0,A192,1.0
A12,7.0,A32,A43,2329.0,A61,A72,1.0,A92,A103,1.0,A121,45.0,A143,A152,1.0,A173,1.0,A191,1.0
A11,18.0,A32,A40,1216.0,A61,A72,4.0,A94,A101,3.0,A121,23.0,A143,A151,1.0,A172,1.0,A191,2.0
A14,9.0,A32,A43,1478.0,A61,A74,4.0,A93,A101,2.0,A123,22.0,A143,A152,1.0,A173,1.0,A191,2.0
A14,9.0,A34,A46,936.0,A63,A75,4.0,A93,A101,4.0,A123,52.0,A143,A152,2.0,A173,1.0,A191,1.0
A11,24.0,A32,A43,1258.0,A61,A72,4.0,A92,A101,1.0,A123,57.0,A143,A151,1.0,A172,1.0,A191,1.0
A14,24.0,A34,A43,5103.0,A61,A75,4.0,A93,A101,3.0,A124,47.0,A143,A153,3.0,A173,1.0,A192,1.0
A11,12.0,A32,A40,1092.0,A61,A73,4.0,A94,A101,2.0,A122,27.0,A141,A152,1.0,A173,1.0,A191,2.0
A11,34.0,A32,A42,14179.0,A65,A74,4.0,A93,A101,4.0,A122,30.0,A143,A152,1.0,A174,1.0,A192,1.0
A14,30.0,A34,A45,7596.0,A61,A75,1.0,A93,A101,4.0,A123,63.0,A143,A152,2.0,A173,1.0,A191,1.0
A14,15.0,A32,A44,1245.0,A62,A73,4.0,A92,A101,4.0,A123,36.0,A143,A152,1.0,A173,1.0,A192,1.0
A14,4.0,A34,A40,1455.0,A61,A71,2.0,A93,A101,4.0,A124,66.0,A143,A153,2.0,A174,2.0,A192,1.0
A13,12.0,A34,A49,1225.0,A61,A73,2.0,A93,A101,2.0,A123,46.0,A143,A151,2.0,A173,1.0,A191,1.0
A14,24.0,A33,A41,4679.0,A61,A74,3.0,A93,A101,3.0,A123,35.0,A143,A152,2.0,A172,1.0,A192,1.0
A11,24.0,A32,A40,1207.0,A61,A72,4.0,A92,A101,4.0,A122,24.0,A143,A151,1.0,A172,1.0,A191,2.0
A12,15.0,A34,A46,1537.0,A65,A73,4.0,A92,A101,4.0,A121,50.0,A143,A152,2.0,A173,1.0,A191,1.0
A14,60.0,A33,A43,15653.0,A65,A75,4.0,A93,A101,4.0,A123,36.0,A143,A152,2.0,A173,1.0,A192,1.0
A14,48.0,A32,A49,4844.0,A61,A71,3.0,A93,A101,4.0,A123,53.0,A141,A152,1.0,A174,1.0,A192,2.0
A14,30.0,A34,A41,8596.0,A65,A75,2.0,A93,A101,3.0,A123,63.0,A143,A152,2.0,A173,1.0,A192,1.0
A12,18.0,A33,A45,6204.0,A61,A73,2.0,A93,A101,4.0,A121,44.0,A143,A152,1.0,A172,2.0,A191,1.0
A12,11.0,A33,A43,4771.0,A61,A74,2.0,A93,A101,1.0,A122,51.0,A143,A152,1.0,A173,1.0,A191,1.0
A11,30.0,A30,A42,4583.0,A61,A73,2.0,A91,A101,2.0,A121,32.0,A143,A152,2.0,A173,1.0,A191,1.0
A14,15.0,A34,A42,3343.0,A61,A73,4.0,A93,A101,2.0,A124,28.0,A143,A153,2.0,A173,1.0,A192,1.0
A12,12.0,A32,A40,951.0,A62,A72,2.0,A92,A101,4.0,A121,27.0,A143,A152,4.0,A172,1.0,A191,2.0
A11,24.0,A34,A41,2957.0,A61,A73,3.0,A93,A101,4.0,A122,63.0,A143,A152,2.0,A174,1.0,A192,1.0
A12,42.0,A34,A49,5954.0,A61,A74,2.0,A92,A101,2.0,A123,41.0,A141,A152,2.0,A172,1.0,A191,1.0
A14,21.0,A34,A41,3275.0,A61,A75,1.0,A93,A101,4.0,A123,36.0,A143,A152,1.0,A174,1.0,A192,1.0
A11,24.0,A31,A40,1193.0,A61,A71,1.0,A92,A102,4.0,A124,29.0,A143,A151,2.0,A171,1.0,A191,2.0
A14,12.0,A33,A42,2146.0,A61,A72,1.0,A92,A101,1.0,A121,23.0,A143,A151,2.0,A173,1.0,A191,1.0
A11,48.0,A34,A41,6331.0,A61,A75,4.0,A93,A101,4.0,A124,46.0,A143,A153,2.0,A173,1.0,A192,2.0
A11,18.0,A30,A42,3114.0,A61,A72,2.0,A92,A101,4.0,A122,26.0,A143,A151,1.0,A172,1.0,A191,2.0
A14,36.0,A34,A43,3342.0,A65,A75,2.0,A93,A101,2.0,A123,51.0,A143,A152,1.0,A173,1.0,A192,1.0
A11,12.0,A32,A40,1372.0,A61,A72,4.0,A91,A101,1.0,A123,36.0,A143,A152,1.0,A173,1.0,A191,2.0
A14,12.0,A32,A42,1521.0,A62,A73,4.0,A93,A101,3.0,A123,31.0,A143,A152,1.0,A172,1.0,A191,1.0
A14,20.0,A34,A41,3275.0,A61,A75,1.0,A93,A101,4.0,A123,36.0,A143,A152,2.0,A174,1.0,A192,1.0
A14,8.0,A32,A42,2118.0,A61,A73,2.0,A93,A101,2.0,A123,37.0,A143,A152,1.0,A173,1.0,A192,1.0
A12,9.0,A32,A43,790.0,A63,A73,4.0,A92,A101,4.0,A121,66.0,A143,A152,1.0,A172,1.0,A191,1.0
A14,60.0,A34,A40,13756.0,A65,A75,2.0,A93,A101,4.0,A124,63.0,A143,A153,1.0,A174,1.0,A192,1.0
A14,48.0,A33,A43,7238.0,A65,A75,3.0,A93,A101,2.0,A123,32.0,A141,A152,2.0,A173,2.0,A191,1.0
A14,15.0,A34,A43,1469.0,A61,A73,4.0,A94,A101,2.0,A121,29.0,A143,A152,2.0,A173,1.0,A191,1.0
A14,36.0,A33,A49,9572.0,A61,A72,1.0,A91,A101,1.0,A123,28.0,A143,A152,1.0,A173,1.0,A191,2.0
A14,36.0,A33,A49,9572.0,A61,A72,1.0,A91,A101,1.0,A123,28.0,A143,A152,2.0,A173,1.0,A191,2.0
A14,24.0,A33,A49,2375.0,A63,A73,3.0,A93,A101,2.0,A123,44.0,A143,A152,2.0,A173,2.0,A192,1.0
A14,12.0,A32,A40,3527.0,A65,A75,2.0,A93,A101,4.0,A121,45.0,A143,A152,1.0,A174,2.0,A192,1.0
A14,10.0,A32,A40,1287.0,A65,A75,1.0,A93,A102,4.0,A121,45.0,A143,A152,1.0,A172,2.0,A191,1.0
A12,48.0,A32,A43,5951.0,A61,A73,2.0,A92,A103,2.0,A121,22.0,A143,A152,1.0,A173,1.0,A191,2.0
A11,12.0,A32,A42,7865.0,A61,A75,4.0,A93,A101,4.0,A124,53.0,A143,A153,1.0,A174,1.0,A192,2.0
A12,18.0,A32,A43,866.0,A61,A73,4.0,A94,A103,2.0,A121,25.0,A143,A152,1.0,A172,1.0,A191,1.0
A14,36.0,A32,A43,2337.0,A61,A75,4.0,A93,A101,4.0,A121,42.0,A143,A152,1.0,A173,1.0,A191,1.0
A11,30.0,A32,A41,3857.0,A61,A73,4.0,A93,A101,2.0,A122,31.0,A143,A152,1.0,A173,1.0,A192,1.0
A11,18.0,A32,A42,3590.0,A61,A73,3.0,A92,A101,3.0,A123,29.0,A143,A152,1.0,A172,1.0,A191,1.0
A12,18.0,A34,A43,1245.0,A61,A73,4.0,A94,A101,2.0,A123,33.0,A143,A152,2.0,A173,1.0,A191,2.0
A12,10.0,A32,A40,1237.0,A62,A75,3.0,A93,A101,4.0,A121,48.0,A143,A152,1.0,A172,2.0,A191,2.0
A11,48.0,A32,A41,4788.0,A61,A74,4.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,1.0,A191,1.0
A14,12.0,A34,A40,1597.0,A63,A73,4.0,A93,A101,2.0,A123,40.0,A141,A152,2.0,A172,2.0,A191,1.0
A14,12.0,A34,A43,629.0,A63,A75,4.0,A93,A101,4.0,A121,32.0,A141,A152,2.0,A173,1.0,A191,1.0
A14,12.0,A34,A45,996.0,A65,A72,4.0,A92,A101,4.0,A121,23.0,A143,A152,2.0,A173,1.0,A191,1.0
A12,48.0,A32,A43,5951.0,A61,A73,2.0,A92,A101,2.0,A121,22.0,A143,A152,1.0,A173,1.0,A191,2.0
A11,21.0,A31,A40,1647.0,A63,A73,4.0,A93,A101,4.0,A122,40.0,A143,A152,1.0,A172,2.0,A191,2.0
A11,40.0,A34,A46,5998.0,A61,A75,4.0,A93,A101,4.0,A124,27.0,A141,A152,1.0,A173,2.0,A192,2.0
A14,24.0,A34,A43,2069.0,A65,A73,4.0,A94,A101,2.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,1.0
A13,6.0,A34,A40,709.0,A64,A72,2.0,A94,A101,2.0,A121,27.0,A141,A152,2.0,A171,1.0,A191,1.0
A12,18.0,A32,A40,1216.0,A61,A72,4.0,A92,A101,1.0,A124,23.0,A143,A152,1.0,A174,1.0,A192,2.0
A12,36.0,A32,A40,12389.0,A65,A73,1.0,A93,A101,4.0,A124,37.0,A143,A153,1.0,A173,1.0,A192,2.0
A12,18.0,A32,A40,3949.0,A61,A72,1.0,A92,A101,1.0,A123,37.0,A143,A152,1.0,A173,1.0,A192,1.0
A12,48.0,A34,A43,3878.0,A65,A74,4.0,A93,A101,1.0,A123,37.0,A143,A152,1.0,A173,1.0,A192,1.0
A11,12.0,A34,A40,1602.0,A61,A75,4.0,A94,A101,3.0,A121,30.0,A143,A152,1.0,A172,1.0,A192,1.0
A12,18.0,A32,A40,2278.0,A62,A72,3.0,A92,A101,2.0,A123,28.0,A143,A152,1.0,A173,1.0,A191,2.0
A12,15.0,A33,A40,1361.0,A61,A73,2.0,A92,A101,2.0,A123,40.0,A143,A152,2.0,A173,1.0,A192,2.0
A12,60.0,A33,A43,9157.0,A65,A73,2.0,A93,A101,2.0,A124,27.0,A143,A153,1.0,A173,1.0,A191,1.0
A12,12.0,A32,A40,2366.0,A63,A74,3.0,A91,A101,3.0,A123,36.0,A143,A152,1.0,A173,1.0,A191,1.0
A13,24.0,A32,A43,1258.0,A61,A72,3.0,A92,A101,3.0,A121,57.0,A143,A151,1.0,A172,1.0,A191,1.0
A11,18.0,A30,A49,3104.0,A61,A72,3.0,A93,A101,1.0,A122,31.0,A141,A152,1.0,A173,1.0,A192,1.0
A11,12.0,A32,A48,902.0,A61,A74,1.0,A94,A101,4.0,A123,21.0,A143,A152,1.0,A173,1.0,A191,2.0
A12,10.0,A34,A43,1287.0,A65,A75,4.0,A93,A101,4.0,A122,37.0,A143,A152,2.0,A172,1.0,A191,1.0
A14,18.0,A30,A42,2278.0,A61,A72,3.0,A92,A101,3.0,A123,28.0,A143,A152,2.0,A173,1.0,A191,1.0
A13,10.0,A34,A40,1264.0,A61,A73,1.0,A92,A101,2.0,A122,49.0,A143,A152,2.0,A173,1.0,A191,1.0
A11,24.0,A32,A40,3123.0,A61,A72,4.0,A92,A101,1.0,A122,27.0,A143,A152,1.0,A173,1.0,A191,2.0
A14,24.0,A33,A49,2375.0,A63,A73,2.0,A91,A101,4.0,A123,44.0,A143,A152,2.0,A173,1.0,A192,1.0
A12,9.0,A34,A40,1549.0,A64,A74,4.0,A93,A101,3.0,A121,35.0,A143,A152,2.0,A173,1.0,A191,1.0
A11,12.0,A32,A43,6199.0,A65,A75,4.0,A93,A101,4.0,A122,28.0,A143,A152,1.0,A173,2.0,A192,2.0
A11,12.0,A33,A40,1344.0,A61,A73,4.0,A93,A101,2.0,A121,43.0,A143,A152,2.0,A173,2.0,A191,1.0
A14,60.0,A32,A40,10366.0,A61,A74,2.0,A93,A101,4.0,A122,42.0,A143,A152,1.0,A174,1.0,A192,1.0
A14,15.0,A34,A43,1516.0,A64,A73,4.0,A92,A101,3.0,A121,43.0,A143,A152,2.0,A172,1.0,A191,1.0
A14,12.0,A32,A43,707.0,A61,A73,4.0,A93,A101,2.0,A121,30.0,A143,A152,1.0,A173,1.0,A191,1.0
A11,9.0,A32,A42,2136.0,A61,A73,2.0,A93,A101,3.0,A121,25.0,A143,A152,1.0,A173,1.0,A191,1.0
A14,15.0,A31,A43,1569.0,A62,A73,4.0,A92,A101,4.0,A123,34.0,A141,A152,1.0,A172,1.0,A191,1.0
A14,10.0,A32,A41,1364.0,A62,A73,2.0,A92,A101,4.0,A121,64.0,A143,A152,1.0,A173,1.0,A192,1.0
A14,21.0,A34,A41,3275.0,A61,A75,1.0,A93,A101,4.0,A123,36.0,A143,A152,1.0,A174,1.0,A192,1.0
A14,18.0,A34,A41,3850.0,A61,A74,3.0,A93,A101,2.0,A123,27.0,A143,A152,2.0,A173,1.0,A191,1.0
A14,10.0,A34,A42,2069.0,A65,A73,2.0,A93,A101,4.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,1.0
A14,12.0,A32,A43,1262.0,A61,A73,3.0,A93,A101,2.0,A123,25.0,A143,A152,1.0,A173,1.0,A192,1.0
A14,12.0,A34,A43,2331.0,A65,A75,2.0,A93,A101,4.0,A121,49.0,A143,A152,1.0,A173,1.0,A192,1.0
A11,12.0,A32,A40,1037.0,A61,A73,4.0,A93,A101,4.0,A122,39.0,A143,A152,1.0,A173,1.0,A192,2.0
A11,18.0,A30,A43,6199.0,A61,A73,4.0,A93,A101,3.0,A122,28.0,A143,A151,2.0,A173,1.0,A192,2.0
A14,18.0,A32,A40,2662.0,A65,A74,4.0,A93,A101,3.0,A122,32.0,A143,A152,1.0,A173,1.0,A191,1.0
A14,24.0,A33,A43,717.0,A65,A75,4.0,A94,A101,4.0,A123,54.0,A143,A152,2.0,A173,1.0,A192,1.0
A14,36.0,A32,A43,2394.0,A65,A73,4.0,A93,A101,2.0,A123,25.0,A143,A152,1.0,A173,1.0,A191,1.0
A14,21.0,A32,A42,1533.0,A61,A73,4.0,A93,A101,2.0,A123,28.0,A142,A152,1.0,A173,1.0,A192,1.0
A11,18.0,A32,A42,7865.0,A61,A75,4.0,A93,A101,4.0,A124,53.0,A143,A153,1.0,A173,1.0,A191,2.0
A12,12.0,A34,A40,3124.0,A61,A72,1.0,A93,A101,4.0,A121,49.0,A141,A152,2.0,A172,2.0,A191,1.0
A14,10.0,A34,A42,2146.0,A61,A72,1.0,A92,A101,3.0,A123,23.0,A143,A151,2.0,A173,1.0,A191,1.0
A11,12.0,A32,A40,674.0,A61,A74,4.0,A93,A101,3.0,A122,20.0,A143,A152,1.0,A173,1.0,A191,2.0
A13,21.0,A34,A43,2319.0,A61,A72,2.0,A92,A101,2.0,A123,33.0,A143,A151,2.0,A173,1.0,A191,2.0
A14,24.0,A32,A43,1585.0,A65,A74,4.0,A93,A101,1.0,A121,50.0,A143,A152,1.0,A173,1.0,A191,1.0
A11,12.0,A32,A40,1394.0,A61,A74,3.0,A92,A101,3.0,A121,40.0,A143,A152,1.0,A173,1.0,A192,1.0
A14,21.0,A32,A41,2476.0,A65,A75,4.0,A93,A101,3.0,A121,45.0,A143,A152,1.0,A174,2.0,A192,1.0
A14,10.0,A34,A42,2146.0,A61,A72,2.0,A92,A101,3.0,A121,23.0,A143,A151,2.0,A173,1.0,A191,1.0
A14,24.0,A34,A41,2197.0,A65,A74,4.0,A93,A101,4.0,A123,43.0,A143,A152,2.0,A173,1.0,A192,1.0
A12,12.0,A32,A40,836.0,A62,A72,4.0,A92,A101,2.0,A122,23.0,A143,A152,1.0,A172,1.0,A191,2.0
A14,18.0,A32,A40,2662.0,A32,A73,4.0,A93,A101,4.0,A122,32.0,A143,A152,1.0,A173,1.0,A191,1.0
A13,9.0,A32,A43,1337.0,A61,A72,4.0,A93,A101,2.0,A121,38.0,A143,A152,1.0,A173,1.0,A191,2.0
A14,18.0,A32,A43,4594.0,A61,A72,3.0,A93,A101,2.0,A123,32.0,A143,A152,1.0,A173,1.0,A192,1.0
A13,12.0,A30,A40,1424.0,A65,A73,4.0,A93,A101,2.0,A121,35.0,A143,A152,1.0,A173,1.0,A192,1.0
A14,36.0,A34,A49,6304.0,A65,A75,4.0,A93,A101,4.0,A121,36.0,A143,A152,2.0,A173,1.0,A191,1.0
A14,36.0,A33,A49,8648.0,A61,A73,2.0,A93,A101,2.0,A123,27.0,A143,A152,2.0,A173,1.0,A191,2.0
A14,30.0,A34,A42,5954.0,A61,A74,3.0,A93,A101,2.0,A123,38.0,A143,A152,1.0,A173,1.0,A954,1.0
A14,24.0,A34,A49,1287.0,A65,A74,4.0,A91,A101,2.0,A121,37.0,A143,A152,2.0,A173,1.0,A192,1.0
A14,9.0,A32,A42,2301.0,A61,A72,2.0,A92,A101,4.0,A123,22.0,A143,A151,1.0,A173,1.0,A191,1.0
A13,6.0,A33,A43,683.0,A61,A73,2.0,A92,A101,1.0,A121,29.0,A143,A152,1.0,A173,1.0,A191,1.0
A14,36.0,A32,A49,7409.0,A65,A75,3.0,A93,A101,2.0,A122,37.0,A141,A152,2.0,A173,1.0,A191,1.0
A14,24.0,A32,A40,7393.0,A61,A73,4.0,A93,A101,4.0,A122,43.0,A143,A152,1.0,A172,1.0,A191,1.0
A12,48.0,A32,A43,3060.0,A61,A74,4.0,A93,A101,4.0,A121,28.0,A143,A152,1.0,A173,1.0,A191,2.0
A12,6.0,A32,A43,753.0,A61,A72,2.0,A92,A103,3.0,A121,64.0,A143,A152,1.0,A173,1.0,A191,1.0
A12,12.0,A30,A46,1837.0,A61,A74,4.0,A93,A101,2.0,A124,34.0,A141,A153,1.0,A172,1.0,A191,2.0
A11,9.0,A34,A40,1344.0,A65,A73,4.0,A93,A101,2.0,A121,43.0,A143,A152,2.0,A173,1.0,A191,1.0
A14,12.0,A32,A43,2279.0,A65,A75,4.0,A93,A101,4.0,A124,37.0,A143,A153,1.0,A173,1.0,A192,1.0
A14,36.0,A33,A43,4463.0,A61,A73,4.0,A93,A101,2.0,A123,26.0,A143,A152,2.0,A174,1.0,A192,2.0
A11,12.0,A32,A40,11998.0,A61,A72,1.0,A2,A101,1.0,A124,39.0,A143,A152,1.0,A172,1.0,A192,2.0
A12,24.0,A32,A40,2718.0,A61,A73,4.0,A93,A101,2.0,A122,20.0,A141,A151,1.0,A172,1.0,A192,2.0
A14,30.0,A34,A42,3108.0,A61,A74,2.0,A93,A101,3.0,A122,31.0,A143,A152,2.0,A173,1.0,A191,2.0
