A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
1.0,41.58,0.0,2.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,560.0,1.0,1.0
1.0,40.58,0.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0,0.0
1.0,31.57,4.335,1.0,2.0,4.0,0.29,0.0,0.0,0.0,1.0,2.0,160.0,1.0,0.0
1.0,23.58,1.665,2.0,9.0,4.0,0.25,1.0,0.0,0.0,0.0,2.0,200.0,391.0,0.0
1.0,31.57,3.75,2.0,2.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,300.0,1.0,0.0
1.0,51.42,0.04,1.0,14.0,4.0,0.04,1.0,0.0,0.0,0.0,2.0,0.0,1005.0,1.0
1.0,23.25,3.0,2.0,8.0,8.0,2.29,1.0,1.0,6.0,1.0,2.0,300.0,4209.0,1.0
1.0,28.83,1.75,2.0,14.0,4.0,0.04,1.0,0.0,0.0,0.0,2.0,80.0,840.0,1.0
1.0,25.67,2.29,1.0,1.0,1.0,0.29,0.0,0.0,0.0,0.0,2.0,200.0,2.0,0.0
1.0,23.42,0.585,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0.0
1.0,27.0,1.5,1.0,8.0,8.0,4.75,1.0,1.0,2.0,1.0,2.0,260.0,838.0,1.0
1.0,23.25,1.5,2.0,9.0,4.0,0.875,1.0,0.0,0.0,0.0,2.0,100.0,1.0,1.0
1.0,35.75,2.5,2.0,13.0,4.0,2.5,0.0,0.0,0.0,1.0,1.0,228.0,1.0,0.0
1.0,19.17,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,144.0,1.0,0.0
0.0,50.75,0.585,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,144.0,1.0,0.0
1.0,34.67,1.25,2.0,11.0,4.0,10.125,1.0,1.0,5.0,1.0,2.0,211.0,211.0,1.0
1.0,20.17,8.17,2.0,8.0,4.0,1.96,1.0,1.0,14.0,0.0,2.0,60.0,159.0,1.0
1.0,31.75,0.165,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,21.0,0.0
1.0,16.33,2.0,2.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1.0,31.57,4.875,2.0,8.0,8.0,0.875,1.0,1.0,9.0,1.0,2.0,791.0,1.0,1.0
1.0,23.42,0.085,2.0,8.0,4.0,0.085,0.0,0.0,0.0,1.0,1.0,160.0,1.0,0.0
1.0,37.42,2.04,2.0,9.0,4.0,0.04,1.0,0.0,0.0,0.0,2.0,400.0,5801.0,1.0
1.0,26.83,1.665,2.0,9.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,220.0,2.0,0.0
1.0,32.33,0.5,2.0,8.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,272.0,1.0,0.0
1.0,56.83,8.5,2.0,10.0,9.0,0.0,1.0,1.0,15.0,0.0,2.0,152.0,131.0,1.0
0.0,30.17,0.5,2.0,8.0,4.0,1.75,1.0,1.0,8.0,0.0,2.0,32.0,541.0,1.0
1.0,20.42,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0,0.0
1.0,26.67,0.75,2.0,8.0,4.0,1.585,1.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0
1.0,41.75,0.96,2.0,2.0,4.0,1.5,1.0,1.0,2.0,0.0,2.0,510.0,601.0,1.0
0.0,20.5,4.0,2.0,6.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,80.0,100.0,1.0
1.0,40.42,7.0,1.0,8.0,4.0,0.165,0.0,1.0,1.0,0.0,2.0,130.0,19.0,0.0
1.0,29.57,0.5,1.0,8.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,340.0,1.0,0.0
0.0,23.67,2.665,2.0,9.0,4.0,0.165,0.0,0.0,0.0,1.0,2.0,200.0,1.0,0.0
1.0,29.58,0.625,2.0,4.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,300.0,2011.0,0.0
1.0,21.83,1.54,2.0,2.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1.0,29.58,14.0,2.0,12.0,8.0,5.335,1.0,1.0,9.0,0.0,2.0,260.0,1.0,1.0
0.0,18.25,10.0,1.0,13.0,8.0,0.085,0.0,0.0,0.0,0.0,2.0,340.0,1.0,0.0
1.0,19.42,0.835,1.0,8.0,8.0,0.04,0.0,0.0,0.0,0.0,2.0,140.0,7.0,0.0
0.0,30.58,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,132.0,21.0,0.0
0.0,39.08,4.0,2.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,480.0,1.0,1.0
0.0,27.75,2.04,2.0,11.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,180.0,51.0,0.0
0.0,35.0,1.25,2.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,200.0,1.0,1.0
1.0,56.0,0.29,2.0,3.0,5.0,15.0,1.0,1.0,20.0,1.0,2.0,0.0,1280.0,1.0
1.0,21.08,5.0,1.0,2.0,8.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
0.0,0.83,0.83,2.0,1.0,1.0,0.165,0.0,1.0,1.0,0.0,2.0,300.0,252.0,0.0
1.0,22.17,0.585,1.0,13.0,8.0,4.75,1.0,0.0,0.0,0.0,2.0,100.0,1.0,1.0
1.0,26.0,2.0,2.0,6.0,4.0,1.75,1.0,0.0,0.0,1.0,2.0,80.0,1.0,0.0
1.0,26.83,13.585,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,160.0,1.0,0.0
1.0,24.08,0.5,2.0,8.0,8.0,0.5,1.0,1.0,12.0,0.0,2.0,0.0,679.0,1.0
1.0,40.08,0.04,1.0,14.0,4.0,0.04,1.0,0.0,0.0,1.0,2.0,840.0,1.0,1.0
1.0,31.83,0.085,2.0,3.0,4.0,0.04,0.0,0.0,0.0,1.0,1.0,300.0,1.0,0.0
1.0,41.0,4.46,2.0,9.0,4.0,2.29,1.0,1.0,7.0,0.0,2.0,80.0,561.0,1.0
1.0,27.75,0.46,2.0,14.0,8.0,1.795,1.0,1.0,15.0,0.0,2.0,370.0,1.0,1.0
1.0,32.42,0.585,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,120.0,1.0,0.0
0.0,24.58,1.25,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,80.0,20.0,0.0
1.0,21.75,0.0,1.0,4.0,4.0,0.165,0.0,1.0,1.0,0.0,2.0,221.0,81.0,0.0
1.0,28.17,1.165,1.0,4.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,216.0,1.0,0.0
1.0,27.67,12.0,2.0,8.0,4.0,0.085,0.0,0.0,0.0,1.0,2.0,260.0,1.0,0.0
0.0,25.17,6.0,2.0,8.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0
0.0,33.75,5.0,2.0,11.0,8.0,1.0,1.0,1.0,4.0,1.0,2.0,200.0,100.0,1.0
1.0,25.625,0.585,1.0,13.0,4.0,0.25,1.0,1.0,4.0,0.0,2.0,200.0,0.0,1.0
1.0,35.0,0.375,2.0,2.0,4.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1.0,21.92,11.625,1.0,4.0,8.0,0.46,0.0,0.0,0.0,1.0,2.0,240.0,4.0,0.0
0.0,24.58,1.75,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,76.0,1.0,0.0
0.0,28.5,1.0,2.0,11.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,167.0,501.0,1.0
1.0,23.17,1.5,2.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,160.0,2.0,0.0
0.0,23.42,0.0,2.0,8.0,4.0,0.085,0.0,0.0,0.0,1.0,1.0,280.0,1.0,0.0
1.0,38.92,1.25,2.0,8.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,400.0,1.0,0.0
0.0,22.25,0.335,2.0,11.0,4.0,0.085,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,38.08,3.0,2.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1.0,39.92,4.0,2.0,8.0,4.0,0.21,0.0,0.0,0.0,0.0,3.0,184.0,1.0,0.0
0.0,25.17,6.0,2.0,8.0,4.0,1.5,1.0,1.0,2.0,0.0,2.0,0.0,459.0,1.0
1.0,21.83,3.0,2.0,3.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0
1.0,27.0,0.5,2.0,13.0,8.0,1.75,1.0,1.0,10.0,0.0,2.0,399.0,828.0,1.0
0.0,45.83,10.5,2.0,11.0,4.0,5.0,1.0,1.0,7.0,1.0,2.0,0.0,1.0,1.0
0.0,24.58,1.25,2.0,4.0,4.0,0.25,0.0,1.0,1.0,0.0,2.0,80.0,10.0,0.0
1.0,42.5,4.915,1.0,9.0,4.0,3.165,1.0,0.0,0.0,0.0,2.0,52.0,1333.0,1.0
0.0,24.58,5.04,2.0,11.0,8.0,2.75,1.0,1.0,6.0,0.0,2.0,368.0,845.0,1.0
1.0,25.17,0.25,2.0,8.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
1.0,50.17,5.085,2.0,6.0,4.0,2.29,1.0,1.0,3.0,0.0,2.0,140.0,15109.0,1.0
1.0,34.08,1.75,1.0,14.0,4.0,0.04,1.0,0.0,0.0,1.0,2.0,280.0,1.0,1.0
0.0,16.5,0.165,2.0,11.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,120.0,1.0,0.0
0.0,29.5,1.085,1.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,280.0,14.0,0.0
1.0,26.58,2.54,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,180.0,2.0,0.0
1.0,34.83,1.25,1.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,160.0,1.0,0.0
1.0,23.0,0.5,2.0,8.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,280.0,1.0,0.0
1.0,22.75,0.795,2.0,13.0,4.0,0.875,1.0,0.0,0.0,0.0,2.0,280.0,1.0,0.0
1.0,31.08,0.04,1.0,14.0,8.0,0.04,1.0,0.0,0.0,0.0,2.0,0.0,3001.0,1.0
1.0,39.0,0.5,2.0,7.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,480.0,1.0,0.0
1.0,22.67,11.17,2.0,13.0,4.0,0.96,1.0,1.0,1.0,0.0,2.0,164.0,1.0,1.0
1.0,35.58,2.5,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,300.0,1.0,0.0
1.0,16.33,1.54,2.0,4.0,4.0,0.125,1.0,0.0,0.0,0.0,2.0,160.0,1.0,0.0
0.0,20.42,0.835,2.0,8.0,4.0,1.5,1.0,0.0,0.0,0.0,2.0,140.0,151.0,1.0
1.0,35.17,2.5,2.0,13.0,4.0,4.5,1.0,1.0,7.0,0.0,2.0,0.0,1271.0,1.0
1.0,32.08,2.5,2.0,4.0,480.0,0.0,1.0,0.0,0.0,0.0,2.0,232.0,201.0,1.0
1.0,51.42,0.04,1.0,14.0,8.0,0.04,1.0,0.0,0.0,0.0,2.0,0.0,3001.0,1.0
1.0,20.42,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0,0.0
0.0,25.42,0.54,2.0,9.0,4.0,0.165,0.0,1.0,1.0,0.0,2.0,272.0,445.0,0.0
1.0,24.83,1.375,2.0,7.0,4.0,0.5,1.0,1.0,2.0,0.0,2.0,248.0,445.0,1.0
0.0,60.33,10.0,2.0,11.0,4.0,8.0,1.0,1.0,14.0,0.0,2.0,0.0,1603.0,1.0
1.0,41.0,0.04,2.0,11.0,4.0,0.04,1.0,0.0,0.0,0.0,2.0,160.0,1.0,1.0
1.0,25.75,0.75,2.0,8.0,4.0,0.25,1.0,0.0,0.0,0.0,2.0,349.0,24.0,1.0
1.0,27.0,0.085,2.0,11.0,4.0,0.04,0.0,1.0,1.0,0.0,2.0,220.0,738.0,0.0
1.0,40.92,0.5,2.0,8.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0,300.0,1.0,1.0
0.0,24.92,1.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0,0.0
1.0,33.25,0.0,2.0,14.0,4.0,4.25,1.0,0.0,0.0,0.0,2.0,300.0,1.0,1.0
1.0,27.67,2.0,2.0,8.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,480.0,1.0,0.0
0.0,21.17,7.0,1.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1.0,40.58,1.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0
1.0,22.42,10.915,2.0,3.0,5.0,1.585,1.0,0.0,0.0,1.0,2.0,100.0,1.0,1.0
